Node,x,y,T
1,0.300000,0.400000,122.074442
2,0.350000,0.400000,129.397388
3,0.400000,0.400000,140.000000
4,0.300000,0.500000,111.835089
5,0.400000,0.500000,107.428551
6,0.500000,0.500000,85.270699
7,0.300000,0.600000,108.594952
8,0.450000,0.600000,85.199433
9,0.600000,0.600000,10.000000
